Location	alt_Name	latitude	longitude	lat_long	altitude_span	altitude	SOIUSA	SOIUSA_Grande_Parte	SOIUSA_Grande_Settore	SOIUSA_Sezione	SOIUSA_Sottosezione	SOIUSA_Supergruppo	SOIUSA_Gruppo	SOIUSA_Sottogruppo	SOIUSA_Codice
Aiguilles Centrale d'Arves		45.12722	6.336944	45.12722,6.336944	3500	3514	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Alpi delle Grandes Rousses e delle Aiguilles d'Arves > Catena Aiguilles d'Arves-Mas de la Grave > Massiccio delle Aiguilles d'Arves > Gruppo delle Aiguilles d'Arves	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Alpi delle Grandes Rousses e delle Aiguilles d'Arves	Catena Aiguilles d'Arves-Mas de la Grave	Massiccio delle Aiguilles d'Arves	Gruppo delle Aiguilles d'Arves	I/A-5.I-A.1.a
Aiguilles de Trélatête		45.79	6.8	45.79,6.8	3500	3911	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio di Trélatête > Catena Trélatête-Dômes de Miage > Gruppo delle Aiguilles de Trélatête	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio di Trélatête	Catena Trélatête-Dômes de Miage	Gruppo delle Aiguilles de Trélatête	I/B-7.V-A.1.a/b
Aiguilles Dorées		45.9825	7.033222	45.9825,7.033222	3500	3519	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio Dolent-Argentière-Trient > Catena del Tour > Catena delle Aiguilles Dorées	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio Dolent-Argentière-Trient	Catena del Tour	Catena delle Aiguilles Dorées	I/B-7.V-C.7.b
Ailefroide		44.885	6.356111	44.885,6.356111	3500	3954	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Massiccio des Écrins > Catena Pelvoux-Bans-Sirac > Catena Ailefroide-Pelvoux > Gruppo dell'Ailefroide	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Massiccio des Écrins	Catena Pelvoux-Bans-Sirac	Catena Ailefroide-Pelvoux	Gruppo dell'Ailefroide	I/A-5.III-C.10.a
Aletschhorn		46.465097	7.993577	46.465097,7.993577	4000	4194	Alpi Occidentali > Alpi Nord-occidentali > Alpi bernesi > Alpi bernesiin senso stretto > Catena Aletschhorn-Bietschhorn > Gruppo dell'Aletschhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi bernesi	Alpi bernesiin senso stretto	Catena Aletschhorn-Bietschhorn	Gruppo dell'Aletschhorn		I/B-12.II-E.12
Antelao		46.451057	12.267351	46.451057,12.267351	3000	3264	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti Cadorine > Gruppo dell'Antelao > Massiccio dell'Antelao	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti Cadorine	Gruppo dell'Antelao	Massiccio dell'Antelao	II/C-31.I-E.22.a
Becca di Suessa		45.548147	6.993692	45.548147,6.993692	3000	3423	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi della Grande Sassière e del Rutor > Catena Grande Sassière-Tsanteleina > Gruppo Grande Sassière-Tsanteleina > Nodo della Grande Sassière	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi della Grande Sassière e del Rutor	Catena Grande Sassière-Tsanteleina	Gruppo Grande Sassière-Tsanteleina	Nodo della Grande Sassière	I/B-7.III-A.2.c
Birkkarspitze		47.411389	11.4375	47.411389,11.4375	2500	2749	Alpi Orientali > Alpi Nord-orientali > Alpi Calcaree Nordtirolesi > Monti del Karwendel > Massiccio del Karwendel p.d. > Catena Hinterautal-Vomper	Alpi Orientali	Alpi Nord-orientali	Alpi Calcaree Nordtirolesi	Monti del Karwendel	Massiccio del Karwendel p.d.	Catena Hinterautal-Vomper		II/B-21.IV-A.4
Catinaccio d'Antermoia		46.474089	11.643828	46.474089,11.643828	3000	3001	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Gardena e di Fassa > Dolomiti di Fassa > Gruppo del Catinaccio > Sottogruppo Molignon-Antermoia	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Gardena e di Fassa	Dolomiti di Fassa	Gruppo del Catinaccio	Sottogruppo Molignon-Antermoia	II/C-31.III-B.8.b
Cima Brenta		46.179903	10.900508	46.179903,10.900508	3000	3151	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Dolomiti di Brenta > Gruppo di Brenta e della Paganella > Gruppo di Brenta > Gruppo centrale di Brenta	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Dolomiti di Brenta	Gruppo di Brenta e della Paganella	Gruppo di Brenta	Gruppo centrale di Brenta	II/C-28.IV-A.1.e
Cima Canali		46.243889	11.863611	46.243889,11.863611	2500	2900	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Feltre e delle Pale di San Martino > Gruppo Pale di San Martino-Feruc > Gruppo delle Pale di San Martino > Sottogruppo della Cima Canali	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Feltre e delle Pale di San Martino	Gruppo Pale di San Martino-Feruc	Gruppo delle Pale di San Martino	Sottogruppo della Cima Canali	II/C-31.IV-A.1.l
Cima dell'Uomo (Dolomiti)		46.40623	11.80892	46.40623,11.80892	3000	3010	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Gardena e di Fassa > Dolomiti di Fassa > Gruppo della Marmolada > Catena della Cima dell'Uomo	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Gardena e di Fassa	Dolomiti di Fassa	Gruppo della Marmolada	Catena della Cima dell'Uomo	II/C-31.III-B.9.e
Cima Mongioia		44.62108	6.94881	44.62108,6.94881	3000	3340	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Chambeyron > Gruppo del Mongioia > Costiera del Mongioia	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Chambeyron	Gruppo del Mongioia	Costiera del Mongioia	I/A-4.I-A.3.a
Cima Sternai		46.478102	10.770328	46.478102,10.770328	3000	3443	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Ortles > Gruppo Ortles-Cevedale > Catena Venezia-Sternai > Gruppo Gioveretto-Sternai	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Ortles	Gruppo Ortles-Cevedale	Catena Venezia-Sternai	Gruppo Gioveretto-Sternai	II/C-28.I-A.3.c
Cima Undici		46.636111	12.378056	46.636111,12.378056	3000	3092	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti di Sesto > Gruppo del Popera > Sottogruppo di Cima Undici	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti di Sesto	Gruppo del Popera	Sottogruppo di Cima Undici	II/C-31.I-A.8.a
Cima Vertana		46.3216	10.38084	46.3216,10.38084	3500	3545	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Ortles > Gruppo Ortles-Cevedale > Gruppo dell'Ortles > Gruppo Vertana-Angelo-Lasa	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Ortles	Gruppo Ortles-Cevedale	Gruppo dell'Ortles	Gruppo Vertana-Angelo-Lasa	II/C-28.I-A.1.e
Cresta Gastaldi		45.513889	7.276667	45.513889,7.276667	3500	3894	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Gran Paradiso-Roccia Viva > Gruppo del Gran Paradiso	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Gran Paradiso-Roccia Viva	Gruppo del Gran Paradiso	I/B-7.IV-A.2.a
Croce Rossa (monte)		45.261636	7.134497	45.261636,7.134497	3500	3566	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi di Lanzo e dell'Alta Moriana > Catena Arnas-Ciamarella > Gruppo Autaret-Ovarda > Cresta Autaret-Lera-Arnas	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi di Lanzo e dell'Alta Moriana	Catena Arnas-Ciamarella	Gruppo Autaret-Ovarda	Cresta Autaret-Lera-Arnas	I/B-7.I-B.4.a
Croda da Lago		46.486138	12.09909	46.486138,12.09909	2500	2715	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti Ampezzane > Gruppo Croda da Lago-Cernera > Gruppo della Croda da Lago	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti Ampezzane	Gruppo Croda da Lago-Cernera	Gruppo della Croda da Lago	II/C-31.I-D.17.b
Croda dei Toni		46.61873	12.361851	46.61873,12.361851	3000	3094	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti di Sesto > Gruppo della Croda dei Toni > Massiccio principale della Croda dei Toni	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti di Sesto	Gruppo della Croda dei Toni	Massiccio principale della Croda dei Toni	II/C-31.I-A.7.b
Croda delle Cornacchie		46.76906	10.79963	46.76906,10.79963	3000	3251	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi Venoste > Alpi Venoste Orientali > Cresta di Senales > Gruppo della Punta di Finale	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi Venoste	Alpi Venoste Orientali	Cresta di Senales	Gruppo della Punta di Finale	II/A-16.I-A.5.a
Croda Rossa di Sesto		46.640951	12.37524	46.640951,12.37524	2500	2965	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti di Sesto > Gruppo del Popera > Gruppo di Croda Rossa di Sesto	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti di Sesto	Gruppo del Popera	Gruppo di Croda Rossa di Sesto	II/C-31.I-A.8.b
Crozzon di Lares		46.148611	10.592222	46.148611,10.592222	3000	3354	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Adamello e della Presanella > Gruppo dell'Adamello > Catena Carè Alto-Breguzzo > Gruppo del Carè Alto	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Adamello e della Presanella	Gruppo dell'Adamello	Catena Carè Alto-Breguzzo	Gruppo del Carè Alto	II/C-28.III-A.3.a
Dôme de Rochefort		45.848998	6.934755	45.848998,6.934755	4000	4016	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Catena Rochefort-Grandes Jorasses-Leschaux > Gruppo di Rochefort	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Catena Rochefort-Grandes Jorasses-Leschaux	Gruppo di Rochefort	I/B-7.V-B.4.a/b
Grand Tournalin		45.871366	7.686825	45.871366,7.686825	3000	3379	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Contrafforti valdostani del Monte Rosa > Costiera Tournalin-Zerbion	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Contrafforti valdostani del Monte Rosa	Costiera Tournalin-Zerbion		I/B-9.III-B.4
Grande Mèsule		46.993637	11.780562	46.993637,11.780562	3000	3478	Alpi Orientali > Alpi Centro-orientali > Alpi dei Tauri occidentali > Alpi della Zillertal > Gruppo del Gran Pilastro > Catena Gran Pilastro-Punta di Valle	Alpi Orientali	Alpi Centro-orientali	Alpi dei Tauri occidentali	Alpi della Zillertal	Gruppo del Gran Pilastro	Catena Gran Pilastro-Punta di Valle		II/A-17.I-B.3
Grande Ruine		44.9675	6.328889	44.9675,6.328889	3500	3765	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Massiccio des Écrins > Catena Écrins-Grande Ruine-Agneaux > Gruppo della Grande Ruine	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Massiccio des Écrins	Catena Écrins-Grande Ruine-Agneaux	Gruppo della Grande Ruine		I/A-5.III-A.6
Grande Traversière		45.523867	7.054839	45.523867,7.054839	3000	3496	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi della Grande Sassière e del Rutor > Catena Grande Sassière-Tsanteleina > Gruppo Grande Sassière-Tsanteleina > Sottogruppo Grande Traversière-Grande Rousse	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi della Grande Sassière e del Rutor	Catena Grande Sassière-Tsanteleina	Gruppo Grande Sassière-Tsanteleina	Sottogruppo Grande Traversière-Grande Rousse	I/B-7.III-A.2.b
Großvenediger		47.110041	12.346187	47.110041,12.346187	3500	3674	Alpi Orientali > Alpi Centro-orientali > Alpi dei Tauri occidentali > Alti Tauri > Gruppo del Venediger > Gruppo del Venediger p.d. > Massiccio del Venediger	Alpi Orientali	Alpi Centro-orientali	Alpi dei Tauri occidentali	Alti Tauri	Gruppo del Venediger	Gruppo del Venediger p.d.	Massiccio del Venediger	II/A-17.II-A.1.b/a
Helsenhorn		46.304722	8.191667	46.304722,8.191667	3000	3274	Alpi Occidentali > Alpi Nord-occidentali > Alpi Lepontine > Alpi del Monte Leone e del San Gottardo > Catena Monte Leone-Blinnenhorn > Gruppo dello Helsenhorn > Gruppo Helsenhorn-Boccareccio	Alpi Occidentali	Alpi Nord-occidentali	Alpi Lepontine	Alpi del Monte Leone e del San Gottardo	Catena Monte Leone-Blinnenhorn	Gruppo dello Helsenhorn	Gruppo Helsenhorn-Boccareccio	I/B-10.I-A.2.a
Hochalmspitze		47.01635	13.322203	47.01635,13.322203	3000	3360	Alpi Orientali > Alpi Centro-orientali > Alpi dei Tauri occidentali > Alti Tauri > Gruppo dell'Ankogel > Gruppo dell'Ankogel p.d. > Catena dell'Hochalmspitze	Alpi Orientali	Alpi Centro-orientali	Alpi dei Tauri occidentali	Alti Tauri	Gruppo dell'Ankogel	Gruppo dell'Ankogel p.d.	Catena dell'Hochalmspitze	II/A-17.II-F.13.f
Hochfrottspitze		47.296111	10.293056	47.296111,10.293056	2500	2649	Alpi Orientali > Alpi Nord-orientali > Alpi bavaresi > Alpi dell'Algovia > Alpi dell'Algoviain senso stretto > Catena del Mädelegabel-Hochlicht > Gruppo del Mädelegabel, Costiera del Mädelegabel	Alpi Orientali	Alpi Nord-orientali	Alpi bavaresi	Alpi dell'Algovia	Alpi dell'Algoviain senso stretto	Catena del Mädelegabel-Hochlicht	Gruppo del Mädelegabel, Costiera del Mädelegabel	II/B-22.II-C.6.c/a
Hochplattig		47.353056	10.988333	47.353056,10.988333	2500	2768	Alpi Orientali > Alpi Nord-orientali > Alpi Calcaree Nordtirolesi > Monti di Mieming e del Wetterstein > Monti di Mieming > Catena del Mieming > Costiera Grießspitze-Hochplatting	Alpi Orientali	Alpi Nord-orientali	Alpi Calcaree Nordtirolesi	Monti di Mieming e del Wetterstein	Monti di Mieming	Catena del Mieming	Costiera Grießspitze-Hochplatting	II/B-21.III-A.1.b
Hochwanner		47.395833	11.054167	47.395833,11.054167	2500	2744	Alpi Orientali > Alpi Nord-orientali > Alpi calcaree nordtirolesi > Monti di Mieming e del Wetterstein > Monti del Wetterstein > Catena del Wetterstein > Massiccio dell'Hochwanner	Alpi Orientali	Alpi Nord-orientali	Alpi calcaree nordtirolesi	Monti di Mieming e del Wetterstein	Monti del Wetterstein	Catena del Wetterstein	Massiccio dell'Hochwanner	II/A-21.III-B.5.a
Les Bans		44.848333	6.336111	44.848333,6.336111	3500	3669	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Massiccio des Écrins > Catena Pelvoux-Bans-Sirac > Gruppo dei Bans > Nodo dei Bans	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Massiccio des Écrins	Catena Pelvoux-Bans-Sirac	Gruppo dei Bans	Nodo dei Bans	I/A-5.III-C.11.b
Les Droites		45.93889	6.99111	45.93889,6.99111	4000	4000	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Catena dell'Aiguille Verte > Catena Driotes-Courtes	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Catena dell'Aiguille Verte	Catena Driotes-Courtes	I/B-7.V-B.5.b
Lyskamm		45.925833	7.830833	45.925833,7.830833	4500	4532	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Gruppo del Monte Rosa > Catena Breithorn-Lyskamm	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Gruppo del Monte Rosa	Catena Breithorn-Lyskamm		I/B-9.III-A.1
Lyskamm Orientale		45.922925	7.835004	45.922925,7.835004	4500	4527	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Gruppo del Monte Rosa > Catena Breithorn-Lyskamm	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Gruppo del Monte Rosa	Catena Breithorn-Lyskamm		I/B-9.III-A.1
Mädelegabel		47.29989	10.29574	47.29989,10.29574	2500	2645	Alpi Orientali > Alpi Nord-orientali > Alpi Bavaresi > Alpi dell'Algovia > Alpi dell'Algoviain senso stretto > Catena Mädelegabel-Hochlicht > Gruppo del Mädelegabel	Alpi Orientali	Alpi Nord-orientali	Alpi Bavaresi	Alpi dell'Algovia	Alpi dell'Algoviain senso stretto	Catena Mädelegabel-Hochlicht	Gruppo del Mädelegabel	II/B-22.II-C.6.c/a
Moiazza		46.333	12.05	46.333,12.05	2500	2878	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Zoldo > Dolomiti Settentrionali di Zoldo > Gruppo della Moiazza > Dorsale delle Moiazze	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Zoldo	Dolomiti Settentrionali di Zoldo	Gruppo della Moiazza	Dorsale delle Moiazze	II/C-31.II-A.4.b
Monte Argentera		44.177652	7.305407	44.177652,7.305407	3000	3297	Alpi Occidentali > Alpi Sud-occidentali > Alpi Marittime e Prealpi di Nizza > Alpi Marittime > Catena Argentera-Pépoiri-Matto > Gruppo dell'Argentera > Massiccio dell'Argentera	Alpi Occidentali	Alpi Sud-occidentali	Alpi Marittime e Prealpi di Nizza	Alpi Marittime	Catena Argentera-Pépoiri-Matto	Gruppo dell'Argentera	Massiccio dell'Argentera	I/A-2.1-B.6.a
Monte Bianco		45.832778	6.865	45.832778,6.865	4500	4806	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Gruppo del Monte Bianco > Monte Bianco	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Gruppo del Monte Bianco	Monte Bianco	I/B-7.V-B.2.b
Monte Breithorn		45.940556	7.748056	45.940556,7.748056	4000	4165	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Gruppo del Monte Rosa > Catena Breithorn-Lyskamm	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Gruppo del Monte Rosa	Catena Breithorn-Lyskamm		I/B-9.III-A.1
Monte Calisio		46.097757	11.143727	46.097757,11.143727	1000	1097	Alpi Orientali > Alpi sud-orientali > Dolomiti > Dolomiti di Fiemme > Catena Lagorai-Monte Croce-Cima d'Asta > Catena Monte Croce-Sette Selle > Dorsale Sette Selle-Gronlait	Alpi Orientali	Alpi sud-orientali	Dolomiti	Dolomiti di Fiemme	Catena Lagorai-Monte Croce-Cima d'Asta	Catena Monte Croce-Sette Selle	Dorsale Sette Selle-Gronlait	II/C-31.V-B.4.b
Monte Cristallo		46.583288	12.191391	46.583288,12.191391	3000	3221	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti Ampezzane > Gruppo del Cristallo > Gruppo del Cristalloin senso stretto	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti Ampezzane	Gruppo del Cristallo	Gruppo del Cristalloin senso stretto	II/C-31.I-D.18
Monte Dolent		45.92194	7.046392	45.92194,7.046392	3500	3820	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio Dolent-Argentière-Trient > Catena Dolent-Tour Noir-Argentière > Gruppo del Mont Dolent	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio Dolent-Argentière-Trient	Catena Dolent-Tour Noir-Argentière	Gruppo del Mont Dolent	I/B-7.V-C.6.a
Monte Emilius		45.67908	7.384014	45.67908,7.384014	3500	3559	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Catena Emilius-Tersiva > Gruppo dell'Emilius > Nodo del Monte Emilius	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Catena Emilius-Tersiva	Gruppo dell'Emilius	Nodo del Monte Emilius	I/B-7.IV-C.9.a
Monte Gleno		46.0318	10.0543	46.0318,10.0543	2500	2882	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi Bergamasche > Alpi Orobie > Alpi Orobie Orientali > Gruppo di Coca > Gruppo del Barbellino	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi Bergamasche	Alpi Orobie	Alpi Orobie Orientali	Gruppo di Coca	Gruppo del Barbellino	II/C-29.I-A.2.a
Monte Lovello		47.0325	11.915556	47.0325,11.915556	3000	3376	Alpi Orientali > Alpi Centro-orientali > Alpi dei Tauri occidentali > Alpi della Zillertal > Gruppo del Gran Pilastro > Catena Gran Pilastro-Punta di Valle	Alpi Orientali	Alpi Centro-orientali	Alpi dei Tauri occidentali	Alpi della Zillertal	Gruppo del Gran Pilastro	Catena Gran Pilastro-Punta di Valle		II/A-17.I-B.3
Monte Matto		44.224433	7.253122	44.224433,7.253122	3000	3097	Alpi Occidentali > Alpi Sud-occidentali > Alpi Marittime e Prealpi di Nizza > Alpi Marittime > Catena Argentera-Pépoiri-Matto > Gruppo Malinvern-Matto-Lombarda > Gruppo Testa Malinvern-Monte Matto	Alpi Occidentali	Alpi Sud-occidentali	Alpi Marittime e Prealpi di Nizza	Alpi Marittime	Catena Argentera-Pépoiri-Matto	Gruppo Malinvern-Matto-Lombarda	Gruppo Testa Malinvern-Monte Matto	I/A-2.1-B.9.a
Monte Serva		46.201389	12.231944	46.201389,12.231944	2000	2133	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Zoldo > Dolomiti Meridionali di Zoldo > Gruppo della Schiara > Catena Schiara-Pelf	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Zoldo	Dolomiti Meridionali di Zoldo	Gruppo della Schiara	Catena Schiara-Pelf	II/C-31.II-B.7.b
Monte Turia		45.5325	6.860556	45.5325,6.860556	3500	3650	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi della Vanoise e del Grand Arc > Massiccio del Monte Pourri > Gruppo del Monte Pourri	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi della Vanoise e del Grand Arc	Massiccio del Monte Pourri	Gruppo del Monte Pourri		I/B-7.II-C.7
Monte Vélan		45.892053	7.251811	45.892053,7.251811	3500	3731	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Grand Combin > Catena Grand Combin-Monte Vélan > Gruppo Monte Vélan-Tête de By > Gruppo del Monte Vélan	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Grand Combin	Catena Grand Combin-Monte Vélan	Gruppo Monte Vélan-Tête de By	Gruppo del Monte Vélan	I/B-9.I-B.3.a
Monte Vioz		46.401667	10.633056	46.401667,10.633056	3500	3645	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Ortles > Gruppo Ortles-Cevedale > Gruppo del Cevedale > Gruppo Cevedale-San Matteo	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Ortles	Gruppo Ortles-Cevedale	Gruppo del Cevedale	Gruppo Cevedale-San Matteo	II/C-28.I-A.2.a
